SYMBOL	A549_log2FoldChange	A549_padj	A549_baseMean	Calu3_log2FoldChange	Calu3_padj	Calu3_baseMean	HepG2_log2FoldChange	HepG2_padj	HepG2_baseMean	mean_abs_log2FC	max_padj
RPPH1	-12.5231444663868	2.62555006953562e-38	24738.8039378058	-11.797669810378	1.10930751741388e-16	63419.0468235931	-1.20726262057335	9.35671552607197e-4	49.5498704727717	8.509358965779384	9.35671552607197e-4
RNU1-1	-11.9967088293297	2.04709785695065e-16	5205.25072063231	-6.22119671340576	1.17912487604424e-5	3462.38819131979	-6.79865519834898	1.84587328608292e-8	222.251798357125	8.33885358036148	1.17912487604424e-5
RNU4-1	-9.52117132119827	1.98672694628642e-8	77.8486000191159	-8.14132601536454	1.27809995539874e-5	238.880208513017	-6.26668615482214	0.00375800737747176	11.2081765412892	7.976394497128316	0.00375800737747176
RNU4-2	-8.67685687403246	1.17353500158816e-7	116.952765709066	-8.25409698143251	1.85527416657749e-9	403.013356988459	-5.93938395678809	0.00155631262213683	17.8140035195615	7.623445937417686	0.00155631262213683
SNORA74A	-9.42343539319583	1.42629191286712e-14	72.7895986508107	-8.72922978131792	1.15252665939185e-7	221.000987230511	-3.1442724996556	0.037896630918656	4.20051992134902	7.0989792247231165	0.037896630918656
RNU2-1	-9.29969020795557	1.63191114436498e-22	3372.56144099304	-6.91817478597694	3.14625113678401e-8	1396.32534259906	-4.98214240833616	1.45505568088265e-4	109.811415099634	7.066669134089556	1.45505568088265e-4
