"condition","n_samples","mean_counts_gt0","sd_counts_gt0","mean_tpm_ge0.1","sd_tpm_ge0.1"
"with_DMSO",10,23525,2430.53720627994,19704.9,957.152426036035
"without_DMSO",10,23379.1,2139.21696214085,19320.8,793.232458572727
