"condition","n_samples","mean_counts_gt0","sd_counts_gt0","mean_tpm_ge0.1","sd_tpm_ge0.1"
"with_DMSO",10,20099.5,11129.2909951872,15915.6,8504.97820494954
"without_DMSO",10,19476,10877.6016249498,16636.5,9158.60624100511
